constituent_id,type,organization_name,organization_type,first_name,last_name,gender,email,phone,address,city,state,postal_code,creation_date,lifetime_giving,first_gift_date,last_gift_date
45,Organization,Ramos-Krause,Government,,,,jcrawford@ramos-krause.com,001-761-963-0739x99371,06954 Kevin Crossroad,Kevinport,NY,20329,2021-09-11,0.0,,
46,Organization,"Contreras, Nelson and Espinoza",Foundation,,,,"edwardsnicole@contreras,nelsonandespinoza.com",573.242.1950x87085,91828 Natalie Center Apt. 377,Josephfort,TX,10684,2023-07-05,0.0,,
47,Organization,Parrish LLC,Foundation,,,,smann@parrishllc.com,975.598.9834,350 Tammy Plains Suite 548,Michellehaven,CA,64091,2022-03-24,0.0,,
48,Organization,Moran-Valentine,Small Business,,,,combscatherine@moran-valentine.com,+1-975-374-3384,6328 Ferrell Square,Torreston,CA,89046,2024-10-26,0.0,,
49,Organization,Williams Group,Government,,,,heidi56@williamsgroup.com,8567625134,37490 Jones Cliffs,Jacobsonport,WA,14084,2024-08-23,0.0,,
50,Organization,Garcia-Steele,Foundation,,,,bishopsusan@garcia-steele.com,001-967-663-9225,012 Johnson Vista,East Lindseymouth,TX,79138,2024-02-18,0.0,,
51,Organization,Meza and Sons,Corporation,,,,kevingarcia@mezaandsons.com,001-214-214-0014x6601,444 Jeremy Trace Suite 897,Jacobton,CA,43865,2024-11-03,0.0,,
52,Organization,Elliott PLC,Foundation,,,,wdavis@elliottplc.com,285.460.6755x29555,88172 Jackson Run Suite 169,Lake Andreaburgh,CA,76606,2023-03-27,0.0,,
53,Organization,Randolph-Brown,Small Business,,,,aluna@randolph-brown.com,+1-361-411-9747,659 West Circle Apt. 520,North Melindaland,IL,39351,2022-01-01,0.0,,
54,Organization,Keith Inc,Corporation,,,,johnallison@keithinc.com,001-987-991-9189,0928 Christine Village Suite 277,East Morgan,IL,38992,2022-02-22,0.0,,
55,Organization,Hess-Johnson,Foundation,,,,renee40@hess-johnson.com,541-849-5207x5836,18453 Joseph Ranch Apt. 987,Robertborough,FL,48470,2025-03-18,0.0,,
56,Organization,"Young, Myers and Barrett",Foundation,,,,"henrywhite@young,myersandbarrett.com",907-511-4000,38272 Owens Glen Suite 542,Randallburgh,TX,10933,2021-07-02,0.0,,
57,Organization,"Stein, Harvey and Schaefer",Small Business,,,,"rhamilton@stein,harveyandschaefer.com",278.376.5868,025 Burton Square Apt. 609,East Angela,NY,85789,2021-08-06,0.0,,
58,Organization,Gonzalez LLC,Small Business,,,,bernardfisher@gonzalezllc.com,001-565-526-7388,583 Jacqueline Forest Apt. 005,Yodermouth,FL,21063,2021-09-06,0.0,,
59,Organization,"Anderson, Levy and Salinas",Foundation,,,,"melissagordon@anderson,levyandsalinas.com",524-341-8619,503 William Meadow,Davisstad,MA,77103,2022-09-10,0.0,,
60,Organization,"Meadows, Ramos and Turner",Government,,,,"vvillarreal@meadows,ramosandturner.com",978.250.0100,6490 Amanda Loop,North Juan,NY,31872,2021-01-14,0.0,,
61,Organization,"Brooks, Wells and Porter",Small Business,,,,"johnwebster@brooks,wellsandporter.com",996-787-5189x600,3417 Parker Ranch Suite 021,Douglasview,CA,76653,2023-07-22,0.0,,
62,Organization,May LLC,Corporation,,,,kellymatthew@mayllc.com,4875085991,85127 Lyons Drives Apt. 445,West Davidbury,OR,52322,2022-03-01,0.0,,
63,Organization,Mcdaniel-Harmon,Corporation,,,,fryekaren@mcdaniel-harmon.com,387-734-3568x56683,71259 Bowen Crossroad Suite 420,Justinfurt,CA,55234,2024-07-30,0.0,,
64,Organization,Woodard Ltd,Corporation,,,,stevensaudrey@woodardltd.com,001-376-831-4208x1445,31827 Vega Heights,Myersville,CA,21818,2022-02-20,0.0,,
65,Organization,Davis and Sons,Government,,,,anawilson@davisandsons.com,974-807-4601,146 Ball Estates,West Joannaside,CA,52405,2023-10-07,0.0,,
66,Organization,Mata-Ponce,Corporation,,,,kellydavid@mata-ponce.com,252.950.1410x018,299 English Lakes,Richardmouth,NY,67229,2021-01-08,0.0,,
67,Organization,Hicks Ltd,Government,,,,yturner@hicksltd.com,+1-519-361-5449x27901,5691 Heather Mission,East Rodneyville,WA,95355,2023-09-18,0.0,,
68,Organization,Harris-Simpson,Foundation,,,,clopez@harris-simpson.com,+1-663-220-1609x54948,424 Leslie Springs Suite 899,West Emily,OR,86564,2024-07-16,0.0,,
69,Organization,"Moss, Edwards and Riley",Corporation,,,,"lorijimenez@moss,edwardsandriley.com",329-235-2531,968 Riley Shoals,Mendezborough,CA,08684,2025-03-21,0.0,,
70,Organization,Castro and Sons,Small Business,,,,whitesamuel@castroandsons.com,(845)275-4197x4247,0366 Hess Street Apt. 035,Pamelaville,CA,72045,2022-05-22,0.0,,
71,Organization,"Bell, Collier and Miles",Foundation,,,,"kaylamccormick@bell,collierandmiles.com",225.405.5910,954 Jackson Ranch Suite 079,Anthonymouth,OR,27235,2023-09-05,0.0,,
72,Organization,"Rodriguez, Schmidt and Becker",Corporation,,,,"bmay@rodriguez,schmidtandbecker.com",001-403-983-5549x089,29856 Joseph Camp Suite 526,New Timothy,WA,08599,2024-03-13,0.0,,
73,Organization,Jordan LLC,Government,,,,langbrian@jordanllc.com,(390)793-9098x384,48646 Hall Curve Suite 648,Aaronmouth,CA,31294,2025-05-20,0.0,,
74,Organization,Harris Group,Corporation,,,,loveethan@harrisgroup.com,(728)422-2900x7597,0406 Jessica Island,Lindaville,FL,82501,2022-02-23,0.0,,
75,Organization,"Watkins, Newman and Young",Corporation,,,,"claytongarrison@watkins,newmanandyoung.com",530.840.0532,7267 Luna Corners,East Dustin,NY,59482,2022-05-31,0.0,,
76,Organization,"Lam, Baker and Jones",Government,,,,"cassidynash@lam,bakerandjones.com",001-285-951-8621x553,75748 Jessica Inlet,New Dwaynestad,IL,69250,2023-10-10,0.0,,
77,Organization,"Taylor, Lane and Bullock",Small Business,,,,"pweaver@taylor,laneandbullock.com",(839)864-3034x646,8698 Franco Estates,Jasonland,FL,97201,2022-04-03,0.0,,
78,Organization,"Schwartz, Robles and Black",Government,,,,"johnhogan@schwartz,roblesandblack.com",(654)804-9369,30665 Daniel Avenue,East Donnaburgh,IL,97204,2025-04-11,0.0,,
79,Organization,Carter-Welch,Foundation,,,,katherinesantos@carter-welch.com,319.990.4113x2068,0354 Hansen Plain,Kaylafort,OR,32447,2025-03-07,0.0,,
80,Organization,"Alexander, Stevenson and Hale",Small Business,,,,"stevengray@alexander,stevensonandhale.com",226.478.8295x9488,3537 Martin Shoal Apt. 242,East Erica,CA,66567,2022-04-27,0.0,,
81,Organization,"Mccarthy, White and Green",Corporation,,,,"bakermichaela@mccarthy,whiteandgreen.com",246.328.4729x3767,7658 Neal Glens,Jonesview,IL,64028,2021-03-14,0.0,,
82,Organization,"Harris, Oconnor and Baker",Foundation,,,,"tuckerrobin@harris,oconnorandbaker.com",2634156731,128 Raymond Parkways Apt. 188,Baxtermouth,TX,92548,2023-01-06,0.0,,
83,Organization,Garcia-Graves,Corporation,,,,wwilliams@garcia-graves.com,001-808-427-5359x2256,815 Gomez Drive Apt. 873,New Joshua,FL,84135,2022-06-30,0.0,,
84,Organization,Norris Inc,Government,,,,kramerjohn@norrisinc.com,310-213-4310,648 Wu Ways,Ramirezmouth,TX,48121,2023-09-20,0.0,,
85,Organization,Little PLC,Foundation,,,,mariacooke@littleplc.com,001-304-796-2386x492,580 Jason Summit,North Michellefort,NY,36686,2021-12-19,0.0,,
86,Organization,Edwards Ltd,Small Business,,,,robertandersen@edwardsltd.com,350.667.5256,2546 Edwin Prairie,Paulville,CA,40329,2021-03-18,0.0,,
87,Organization,"White, Robles and Phillips",Foundation,,,,"wilsondaniel@white,roblesandphillips.com",(766)916-7384x0253,82727 Franklin Glens,Port Rogerberg,NY,31217,2023-02-13,0.0,,
88,Organization,Myers-Alvarado,Foundation,,,,hconway@myers-alvarado.com,(900)628-5231x456,8662 Elizabeth Fords Apt. 700,West Jenniferburgh,IL,57674,2023-06-23,0.0,,
89,Organization,"Erickson, Mcneil and Smith",Foundation,,,,"fhall@erickson,mcneilandsmith.com",686.202.8126x769,1079 Christina Prairie,Washingtonborough,CA,62516,2022-07-19,0.0,,
90,Organization,Barnes-Foster,Foundation,,,,richardnorman@barnes-foster.com,001-323-354-4696x73097,947 Jason Pike,North Kevin,TX,65009,2025-02-20,0.0,,
91,Organization,Lee Ltd,Small Business,,,,cynthia04@leeltd.com,001-234-745-5605x066,9676 Wayne Spur Suite 420,West Jacob,WA,50740,2024-09-13,0.0,,
92,Organization,Garner-Dominguez,Foundation,,,,richardbailey@garner-dominguez.com,(958)277-4951x8239,4420 Shelly Cliffs,Bryanhaven,CA,65521,2024-02-24,0.0,,
93,Organization,Barrett-Mullins,Corporation,,,,graycarla@barrett-mullins.com,+1-536-734-8588,269 French Ferry Apt. 319,New Scott,CA,55097,2024-07-08,0.0,,
94,Organization,"Johnson, Brooks and Taylor",Corporation,,,,"bvelez@johnson,brooksandtaylor.com",001-959-244-7477,63607 Arnold Port,Patrickfort,CA,27670,2024-06-17,0.0,,
95,Organization,Thompson-Parker,Foundation,,,,walshmark@thompson-parker.com,599-920-7545,5320 Garza View,Snyderfort,OR,68120,2025-01-15,0.0,,
96,Organization,"Levine, Richardson and Rodriguez",Corporation,,,,"pyoder@levine,richardsonandrodriguez.com",(518)919-9040x26080,28905 Hernandez Heights,South Kayla,WA,72041,2021-03-22,0.0,,
97,Organization,Elliott-Wolfe,Government,,,,sean83@elliott-wolfe.com,252.601.2872x105,92316 Brenda Brooks Apt. 474,Wardfurt,CA,45332,2021-08-20,0.0,,
98,Organization,Mitchell-Smith,Foundation,,,,ydean@mitchell-smith.com,001-911-879-3380,8853 Huerta Pine,Mcintoshview,FL,22089,2022-10-15,0.0,,
99,Organization,"Adams, Ashley and Williams",Corporation,,,,"pherrera@adams,ashleyandwilliams.com",+1-634-452-4459,9884 Stewart Pines,Christianton,WA,34304,2024-03-11,0.0,,
100,Organization,Brown-Long,Small Business,,,,fbridges@brown-long.com,001-755-488-0491x43423,707 Simmons Prairie Apt. 942,Suzannechester,WA,51006,2025-01-06,0.0,,
101,Organization,"Ruiz, Lucas and Brown",Government,,,,"fostergabriel@ruiz,lucasandbrown.com",(895)888-6768,9422 Joshua Turnpike,West Nicholas,CA,60010,2022-12-06,0.0,,
102,Organization,Frazier-Velez,Corporation,,,,amann@frazier-velez.com,782-709-5237x998,414 Russell Vista,New Corey,NY,98166,2021-01-18,0.0,,
103,Organization,Obrien LLC,Government,,,,osmith@obrienllc.com,(848)638-9644,72250 Amber Common,Lake Joshualand,CA,05963,2023-08-04,0.0,,
104,Organization,Larson-Scott,Government,,,,jameslong@larson-scott.com,951.366.0331,0826 Kristin Dale Suite 411,East Jacob,CA,13463,2021-08-13,0.0,,
105,Organization,"Ramirez, Scott and Gallegos",Foundation,,,,"timothy24@ramirez,scottandgallegos.com",438.247.1821x905,4496 Anthony Fork Suite 375,Jessicaside,NY,47847,2024-07-08,0.0,,
106,Organization,Hayes and Sons,Foundation,,,,hughesmatthew@hayesandsons.com,001-229-554-9655x77819,23263 Heather Plaza,Timothyside,CA,21969,2023-11-15,0.0,,
107,Organization,Jensen-Compton,Foundation,,,,travispage@jensen-compton.com,3942315537,6304 Thompson Canyon,Lake Omar,WA,60557,2021-07-20,0.0,,
108,Organization,"Davidson, Benton and Montgomery",Corporation,,,,"megancoleman@davidson,bentonandmontgomery.com",885.610.1858x2069,087 Sanchez Walks,North Jonmouth,NY,87844,2021-01-24,0.0,,
109,Organization,Chapman and Sons,Small Business,,,,oross@chapmanandsons.com,768.609.7621,702 Richardson Harbor,Oscarberg,NY,62065,2024-10-31,0.0,,
110,Organization,"Webb, Watkins and Baldwin",Small Business,,,,"flemingdawn@webb,watkinsandbaldwin.com",746-365-2056x53767,3427 Ward Shores Suite 341,Clarktown,TX,97771,2025-02-10,0.0,,
111,Organization,Oneal-Bowman,Foundation,,,,emily94@oneal-bowman.com,8283665365,91019 Nichols Crest,Murphymouth,IL,34351,2021-05-15,0.0,,
112,Organization,Reed-Hayes,Government,,,,ashley94@reed-hayes.com,241.395.5590,608 Rhodes Brooks Suite 950,East Christine,NY,64050,2024-05-20,0.0,,
113,Organization,Kelly Ltd,Foundation,,,,kevinhenry@kellyltd.com,255-781-4065,784 Kelly Loaf Suite 846,Dustinfurt,NY,95658,2021-11-28,0.0,,
114,Organization,Cook LLC,Foundation,,,,greentricia@cookllc.com,653.962.0509,56108 Hernandez Way Apt. 261,Port Kathryn,CA,24698,2023-06-09,0.0,,
115,Organization,Velasquez-Diaz,Foundation,,,,wreeves@velasquez-diaz.com,204.271.3488x91294,6192 Brandon Circle Apt. 658,Lake Gabriellafurt,NY,87808,2022-10-23,0.0,,
116,Organization,Johnson Group,Government,,,,masondanielle@johnsongroup.com,001-635-677-4260,311 Paul Brook Suite 397,Taylorport,CA,97270,2024-03-22,0.0,,
117,Organization,"Riggs, Hall and Savage",Government,,,,"klawrence@riggs,hallandsavage.com",525.486.8850x69132,57956 Alexis Extension Apt. 815,Cooleymouth,CA,80403,2025-06-02,0.0,,
118,Organization,"Hunter, Carr and Valenzuela",Small Business,,,,"bpark@hunter,carrandvalenzuela.com",818-290-6984x5315,3731 Hudson Expressway,Judithshire,NY,83178,2024-10-30,0.0,,
119,Organization,Wilson-Li,Corporation,,,,jlewis@wilson-li.com,+1-356-614-5239x1256,353 Amanda Port Suite 216,Millerberg,MA,99227,2021-02-17,0.0,,
120,Organization,"Fuentes, Porter and Adkins",Corporation,,,,"staceystone@fuentes,porterandadkins.com",228.577.7896x556,207 April Junctions,Danielburgh,IL,17626,2021-01-12,0.0,,
121,Organization,Fox-Peters,Government,,,,burkeantonio@fox-peters.com,001-715-314-8626x372,65379 Henderson Village,Lake Barbara,FL,76324,2022-07-06,0.0,,
122,Organization,Sherman-Humphrey,Foundation,,,,andrea07@sherman-humphrey.com,771.826.0747x311,7653 Gary Hill Apt. 999,Danaport,WA,63427,2021-01-21,0.0,,
123,Organization,"Hardin, Nelson and Bond",Foundation,,,,"wparks@hardin,nelsonandbond.com",942-391-2101,9530 Smith Club Suite 753,Port Laurieburgh,FL,93599,2022-01-22,0.0,,
124,Organization,Matthews PLC,Foundation,,,,fowlerchristopher@matthewsplc.com,001-520-781-3497,3591 Krista Mountains,South Kimberly,OR,55158,2025-05-13,0.0,,
125,Organization,Sandoval LLC,Foundation,,,,stuart35@sandovalllc.com,+1-428-718-5677x4218,369 Jackson Heights Suite 065,Port Teresa,NY,37873,2022-09-29,0.0,,
126,Organization,Sherman-Herrera,Small Business,,,,jonesmatthew@sherman-herrera.com,001-391-666-6946x4603,3735 Nolan Island Suite 471,New Stevenland,NY,06719,2024-07-12,0.0,,
127,Organization,"Lewis, Vega and Leblanc",Small Business,,,,"barbara66@lewis,vegaandleblanc.com",(412)582-5127,72953 Sheila Spurs Apt. 616,Matthewborough,FL,38147,2025-05-05,0.0,,
128,Organization,"Richmond, Henderson and Thomas",Foundation,,,,"julieroberts@richmond,hendersonandthomas.com",001-909-760-5292x06791,127 Julie Parkways,Lynnmouth,NY,39455,2024-01-16,0.0,,
129,Organization,Wagner-Goodwin,Corporation,,,,epatterson@wagner-goodwin.com,485-269-8289x05054,020 Hernandez Springs,South Stevenland,OR,85862,2023-01-17,0.0,,
130,Organization,"Pierce, Robinson and Lee",Small Business,,,,"alexandramiller@pierce,robinsonandlee.com",001-491-863-0861x1602,790 Kim Center Apt. 908,Michelleview,NY,85982,2021-10-10,0.0,,
131,Organization,"Wilson, Carter and Roberson",Government,,,,"james63@wilson,carterandroberson.com",7734391376,40616 Krueger Fords Apt. 830,New Edward,FL,22960,2022-12-27,0.0,,
132,Organization,"Ramos, Allen and Woods",Corporation,,,,"gonzalezchristopher@ramos,allenandwoods.com",+1-448-451-8335x8934,6687 Charles Shore Apt. 735,Port Lisa,WA,39138,2021-08-16,0.0,,
133,Organization,"Perry, Hamilton and Garcia",Small Business,,,,"patriciamay@perry,hamiltonandgarcia.com",964-334-3734x96158,90420 Joshua Mall,West Denise,CA,79186,2023-07-12,0.0,,
134,Organization,Herring Inc,Corporation,,,,pamelaburgess@herringinc.com,001-628-696-2547x47669,73045 Kaylee Rapid,North Gregory,FL,26434,2023-07-06,0.0,,
135,Organization,Hughes and Sons,Corporation,,,,tsandoval@hughesandsons.com,+1-354-942-5045x42706,324 Nancy Junction Apt. 382,Quinnside,FL,89237,2021-05-07,0.0,,
136,Organization,"Bauer, Dickson and Rice",Foundation,,,,"clarkdawn@bauer,dicksonandrice.com",(884)233-7318,372 Gregory Manors,New Phyllis,IL,17306,2023-03-05,0.0,,
137,Organization,Woods-Garcia,Small Business,,,,christopherallen@woods-garcia.com,791.342.6873,965 Troy Knoll Apt. 413,Lake Michelle,CA,26312,2021-04-08,0.0,,
138,Organization,Manning Ltd,Corporation,,,,david84@manningltd.com,(869)366-5996x71092,9399 Diaz Springs Suite 685,Walkerside,CA,45409,2024-08-16,0.0,,
139,Organization,"Lewis, Duncan and Williams",Small Business,,,,"kellywilliams@lewis,duncanandwilliams.com",900.479.4516,03344 Jessica Fields Suite 860,South Dawn,TX,41041,2025-04-01,0.0,,
140,Organization,Johnson LLC,Government,,,,gregoryroman@johnsonllc.com,337-717-8319x22793,5968 Allen Hill,Aaronshire,NY,12395,2021-07-21,0.0,,
141,Organization,Stevenson Inc,Small Business,,,,stevendaniel@stevensoninc.com,+1-834-848-4506x731,78249 Christopher Overpass,Heathermouth,MA,83186,2023-07-17,0.0,,
142,Organization,"Marsh, Williams and Massey",Government,,,,"wilsonrichard@marsh,williamsandmassey.com",001-996-204-0869,60160 Teresa Vista,Christineburgh,NY,78174,2023-09-20,0.0,,
143,Organization,Wilkins-Arnold,Small Business,,,,heathergomez@wilkins-arnold.com,(940)416-9856,192 David Spur Suite 043,Brucehaven,CA,39040,2021-05-25,0.0,,
144,Organization,Reed-Orr,Government,,,,william01@reed-orr.com,3727283495,8874 Amanda Fields Suite 696,New Bridget,MA,16943,2022-10-26,0.0,,
145,Organization,"Mcintyre, Snyder and Lucas",Small Business,,,,"deborah99@mcintyre,snyderandlucas.com",+1-592-839-0026x96323,540 Lloyd Alley Apt. 812,West Amberberg,CA,61232,2022-10-27,0.0,,
146,Organization,Roach PLC,Small Business,,,,johnsonsteven@roachplc.com,518.410.9282,00888 Wendy Spurs,Jonesborough,NY,04158,2022-04-12,0.0,,
147,Organization,Lara-Brown,Government,,,,stewartandrea@lara-brown.com,655.681.3648,283 Mcknight Junctions,Tyroneburgh,MA,36990,2025-05-06,0.0,,
148,Organization,"Brown, Drake and Smith",Government,,,,"monroedean@brown,drakeandsmith.com",(491)688-0029,9497 Shawn Shoals Suite 432,Weaverchester,OR,68068,2021-07-10,0.0,,
149,Organization,Bowman Ltd,Corporation,,,,anna40@bowmanltd.com,(854)326-8998x99195,963 Dustin Gateway Apt. 883,Robertville,CA,61545,2022-06-18,0.0,,
150,Organization,"Fuller, Leach and Welch",Small Business,,,,"smithdaniel@fuller,leachandwelch.com",424.373.3258,60317 Taylor Row,South Samantha,MA,75611,2025-01-20,0.0,,
151,Organization,Henry PLC,Government,,,,ldavidson@henryplc.com,+1-791-242-9556x53405,035 Ewing Walks,Peterborough,TX,45898,2021-04-26,0.0,,
152,Organization,Cruz LLC,Corporation,,,,mikaylacantu@cruzllc.com,001-959-802-9110x674,10664 Hampton Pine,Robertberg,TX,31073,2021-01-08,0.0,,
153,Organization,Jenkins-Hernandez,Foundation,,,,christiansawyer@jenkins-hernandez.com,466-482-4551x15166,55418 Matthew Alley,Maxwellstad,OR,08624,2022-06-08,0.0,,
154,Organization,Collins LLC,Small Business,,,,wintersmelissa@collinsllc.com,668.957.7806x0428,0771 Murphy Center,Matthewchester,NY,30292,2023-02-15,0.0,,
